数据组,实验序号,配置ID,A水平,B水平,C水平,D水平,精度模式,Batch,算子实现,图优化策略,Buffer优化,Tiling优化,单流,输入形状,编译成功,记录检查,FPS,平均批延迟_ms,P95批延迟_ms,P99批延迟_ms,平均余弦,最小余弦,实际测量Batch,计时次数字段,验证样本数,随机种子,验证错误,其他错误,ATC命令,数据来源,逐样本数值验证记录
81组实验数据2,11,A1-B2-C1-D2,1,2,1,2,force_fp32,4,high_precision,l2_with_tiling,l2_optimize,1,否,"input:4,3,224,224",是,记录满足检查,463.2934863,8.633836042,8.829425939,11.98352433,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp11 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,12,A1-B2-C1-D3,1,2,1,3,force_fp32,4,high_precision,l2_single_stream,l2_optimize,0,是,"input:4,3,224,224",是,记录满足检查,458.1315211,8.731117192,8.822109039,11.39398608,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp12 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,13,A1-B2-C2-D1,1,2,2,1,force_fp32,4,high_performance,standard_l2,l2_optimize,0,否,"input:4,3,224,224",是,记录满足检查,461.9351573,8.659223999,8.780395795,8.887659745,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp13 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,14,A1-B2-C2-D2,1,2,2,2,force_fp32,4,high_performance,l2_with_tiling,l2_optimize,1,否,"input:4,3,224,224",是,记录满足检查,455.3991718,8.783503018,8.825018269,11.87526989,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp14 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,15,A1-B2-C2-D3,1,2,2,3,force_fp32,4,high_performance,l2_single_stream,l2_optimize,0,是,"input:4,3,224,224",是,记录满足检查,461.2728516,8.671657103,8.814060427,8.906859772,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp15 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,16,A1-B2-C3-D1,1,2,3,1,force_fp32,4,high_performance_for_all,standard_l2,l2_optimize,0,否,"input:4,3,224,224",是,记录满足检查,461.7934608,8.661880991,8.822606414,8.821889433,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp16 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,17,A1-B2-C3-D2,1,2,3,2,force_fp32,4,high_performance_for_all,l2_with_tiling,l2_optimize,1,否,"input:4,3,224,224",是,记录满足检查,455.6651721,8.778375537,8.794647419,12.78166536,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp17 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,18,A1-B2-C3-D3,1,2,3,3,force_fp32,4,high_performance_for_all,l2_single_stream,l2_optimize,0,是,"input:4,3,224,224",是,记录满足检查,450.2050803,8.884839765,8.889925701,13.11418054,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp18 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,19,A1-B3-C1-D1,1,3,1,1,force_fp32,16,high_precision,standard_l2,l2_optimize,0,否,"input:16,3,224,224",是,记录满足检查,416.2597096,38.43754183,39.02225645,39.25264774,1,1,16,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:16,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp19 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,20,A1-B3-C1-D2,1,3,1,2,force_fp32,16,high_precision,l2_with_tiling,l2_optimize,1,否,"input:16,3,224,224",是,记录满足检查,414.7614382,38.57639242,38.67100973,38.75740522,1,1,16,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:16,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp20 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据2,21,A1-B3-C1-D3,1,3,1,3,force_fp32,16,high_precision,l2_single_stream,l2_optimize,0,是,"input:16,3,224,224",是,记录满足检查,412.1641428,38.81948558,39.36285831,39.61898928,1,1,16,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:16,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp21 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2\evaluation_report.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
